name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509952041735543,1754509952113079111,71343568
ArborX::Sorting,user_region,1754509952038677042,1754509952113082121,74405079
ArborX::DBSCAN::dense_cells,user_region,1754509951981827261,1754509952406321834,424494573
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754509952412674886,1754509952431084723,18409837
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754509952431087083,1754509952440673687,9586604
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509952442754198,1754509952493085697,50331499
ArborX::Sorting,user_region,1754509952440678717,1754509952493089437,52410720
ArborX::BVH::BVH::sort_linearized_order,user_region,1754509952440676117,1754509952493092037,52415920
ArborX::BVH::BVH::generate_hierarchy,user_region,1754509952493095887,1754509952562009313,68913426
ArborX::BVH::BVH,user_region,1754509952412672126,1754509952565207475,152535349
ArborX::DBSCAN::tree_construction,user_region,1754509952406324334,1754509952565210725,158886391
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754509952575424099,1754509952603133329,27709230
ArborX::Sorting,user_region,1754509952571153127,1754509952603135439,31982312
ArborX::BVH::query::spatial::compute_permutation,user_region,1754509952565248875,1754509952604454100,39205225
ArborX::BVH::query::spatial,user_region,1754509952565246345,1754509953991480543,1426234198
ArborX::DBSCAN::clusters::query,user_region,1754509952565216695,1754509953991482993,1426266298
ArborX::DBSCAN::clusters,user_region,1754509952565214195,1754509954145880682,1580666487
ArborX::DBSCAN,user_region,1754509951981781601,1754509954145882132,2164100531
DBSCANCalculation,user_region,1754509951981772641,1754509954147150043,2165377402
