name,type,start_time_epoch_ns,end_time_epoch_ns,duration_ns
ArborX::BVH::BVH::calculate_scene_bounding_box,user_region,1754510781358468899,1754510781426740164,68271265
ArborX::BVH::BVH::compute_linear_ordering,user_region,1754510781426743404,1754510781433206188,6462784
ArborX::KokkosExt::sortByKey::Thrust,user_region,1754510781436688751,1754510781511862400,75173649
ArborX::Sorting,user_region,1754510781433231228,1754510781511866500,78635272
ArborX::BVH::BVH::sort_linearized_order,user_region,1754510781433209648,1754510781511868610,78658962
ArborX::BVH::BVH::generate_hierarchy,user_region,1754510781511872500,1754510781599637398,87764898
ArborX::BVH::BVH,user_region,1754510781358463529,1754510781604288931,245825402
ArborX::DBSCAN::tree_construction,user_region,1754510781354845977,1754510781604300881,249454904
ArborX::DBSCAN::clusters::query,user_region,1754510781607682174,1754510783897949917,2290267743
ArborX::DBSCAN::clusters,user_region,1754510781607679964,1754510784063812897,2456132933
ArborX::DBSCAN,user_region,1754510781354797297,1754510784063815217,2709017920
DBSCANCalculation,user_region,1754510781354788096,1754510784065626208,2710838112
